id,category,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation_id
2478,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2479,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
2480,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2481,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2482,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2483,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2484,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
2485,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2486,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2487,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
2488,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2489,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2490,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2491,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2492,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2493,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2494,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2495,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2496,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2497,Reading,PASSAGE: Studies on sleep patterns reveal that adults require at least seven hours of sleep to maintain optimal cognitive function. Chronic sleep deprivation has been linked to reduced productivity and weakened emotional regulation. QUESTION: The passage suggests that insufficient sleep primarily affects ___.,productivity and emotional stability,physical strength only,dietary preferences,social skills exclusively,A,productivity and emotional stability,Dijelaskan bahwa kurang tidur menurunkan produktivitas dan regulasi emosi.
2498,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2499,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2500,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2501,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2502,Reading,PASSAGE: Studies on sleep patterns reveal that adults require at least seven hours of sleep to maintain optimal cognitive function. Chronic sleep deprivation has been linked to reduced productivity and weakened emotional regulation. QUESTION: The passage suggests that insufficient sleep primarily affects ___.,productivity and emotional stability,physical strength only,dietary preferences,social skills exclusively,A,productivity and emotional stability,Dijelaskan bahwa kurang tidur menurunkan produktivitas dan regulasi emosi.
2503,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2504,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
2505,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2506,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2507,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
2508,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2509,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2510,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2511,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2512,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2513,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2514,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
2515,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2516,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2517,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2518,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2519,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2520,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2521,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2522,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2523,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2524,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2525,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2526,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
2527,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2528,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2529,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2530,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2531,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2532,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
2533,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2534,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2535,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2536,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2537,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2538,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2539,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2540,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2541,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2542,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2543,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2544,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2545,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
2546,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2547,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
2548,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
2549,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2550,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2551,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
2552,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2553,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2554,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2555,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2556,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2557,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2558,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2559,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
2560,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
2561,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
2562,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2563,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2564,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2565,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2566,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2567,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2568,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2569,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2570,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
2571,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
2572,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2573,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
2574,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2575,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2576,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
2577,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2578,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2579,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2580,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
2581,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2582,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2583,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2584,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
2585,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2586,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
2587,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
2588,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2589,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2590,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2591,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
2592,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2593,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2594,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
2595,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
2596,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2597,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2598,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2599,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
2600,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2601,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2602,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2603,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2604,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2605,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2606,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2607,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2608,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2609,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2610,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
2611,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2612,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
2613,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2614,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2615,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2616,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2617,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2618,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2619,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2620,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
2621,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2622,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2623,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
2624,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2625,Grammar_Passive,The report concluded that the data ___ collected under controlled conditions.,were,was,is,has,A,were,'Data' dianggap jamak dalam konteks ilmiah → 'were collected'.
2626,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
2627,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2628,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
